
a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-icon-theme 40.1.1-1
aic94xx-firmware 30-9
alsa-card-profiles 1:0.3.39-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
amd-ucode 20211027.1d00989-1
amdgpud 1.0.5-1
amdvlk 2021.Q4.1-1
amf-headers 1.4.21-2
aom 3.2.0-1
apache 2.4.51-1
appstream 0.14.6-1
apr 1.7.0-3
apr-util 1.6.1-8
arandr 0.1.10-6
arc-gtk-theme 20210412-1
arc-icon-theme 20161122-3
arch-install-scripts 24-2
archlinux-keyring 20211028-1
arcolinux-arc-themes-git 21.07-01
arcolinux-keyring 20230919-6
arcolinux-mirrorlist-git 21.10-01
arcolinux-neofetch-git 21.07-01
arcolinux-paru-git 21.07-01
arcolinux-root-git 21.11-01
arcolinux-systemd-services-git 21.08-05
arcolinux-zsh-git 21.11-01
arcolinuxd-system-config-git 21.11-01
argon2 20190702-3
aribb24 1.0.3-3
asciinema 2.1.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
attr 2.5.1-1
audiofile 0.3.6-6
audit 3.0.5-1
auto-cpufreq 1.7.1-3
autoconf 2.71-1
automake 1.16.5-1
avahi 0.8+22+gfd482a7-1
avisynthplus 3.7.0-1
awesome-terminal-fonts 1.1.0-4
babl 0.1.88-2
base 2-2
bash 5.1.008-1
bash-completion 2.11-2
bat 0.18.3-1
bc 1.07.1-4
betterlockscreen 4.0.3-2
bibata-cursor-theme-bin 1.1.2-1
bind 9.16.22-1
binutils 2.36.1-3
bison 3.8.2-1
blas 3.10.0-1
bluez 5.62-1
bluez-libs 5.62-1
bluez-utils 5.62-1
boost-libs 1.76.0-1
box2d 2.4.1-1
bpytop 1.0.67-1
brave-bin 1:1.31.88-1
breeze-icons 5.87.0-1
brightnessctl 0.5.1-2
broadcom-wl 6.30.223.271-339
brotli 1.0.9-4
btrfs-progs 5.14.2-1
bubblewrap 0.5.0-1
bzip2 1.0.8-4
c-ares 1.18.1-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.72-1
ca-certificates-utils 20210603-1
cabextract 1.9.1-2
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.303-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
ceph-libs 15.2.14-2
chaotic-keyring 20210617-1
check 0.15.2-2
chromaprint 1.5.0-3
cifs-utils 6.14-1
cjson 1.7.15-1
clang 12.0.1-1
clonezilla 3.35.2-3
clucene 2.3.3.4-11
cmake 3.21.4-1
cmatrix 2.0-2
cmocka 1.1.5-2
codec2 1:1.0.1-1
compiler-rt 12.0.1-2
confuse 3.3-3
copyq 5.0.0-1
coreutils 9.0-2
cpio 2.13-2
cracklib 2.9.7-2
crda 4.14-4
cryfs 0.11.0-1
crypto++ 8.5.0-2
cryptsetup 2.4.1-3
ctags 1:5.9.20210905.0-1
curl 7.79.1-1
darkhttpd 1.13-1
dav1d 0.9.2-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.112-2
dbus-python 1.2.18-1
dconf 0.40.0-1
ddcutil 1.1.0-1
ddrescue 1.25-1
deoplete 6.1-1
desktop-file-utils 0.26-1
device-mapper 2.03.14-1
dex 0.9.0-1
dhclient 4.4.2.P1-1
dhcpcd 9.4.0-1
dialog 1:1.3_20210621-1
diffutils 3.8-1
ding-libs 0.6.1-3
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.86-1
dnssec-anchors 20190629-3
dosfstools 4.2-1
double-conversion 3.1.5-2
downgrade 10.1.0-1
doxygen 1.9.2-1
drbl 2.30.5-1
duf-bin 0.6.2-2
dunst 1.7.1-1
e2fsprogs 1.46.4-1
ecryptfs-utils 111-4
ed 1.17-1
edid-decode-git r598.67ed12e-1
editorconfig-core-c 0.12.5-1
edk2-shell 202108-1
efibootmgr 17-2
efivar 37-4
elfutils 0.185-1
ell 0.45-1
emmet-vim-git r817.920904c-1
encfs 1.9.5-5
enchant 2.3.1-1
